OrderID,OrderDate,CustomerID,CustomerName,Region,City,Category,Product,Quantity,UnitPrice,Sales,Discount,Profit,PaymentMethod
ORD00023,2024-11-29,CUST9856,Customer_429,Delta,Mansoura,Fashion,Shirt,4,1704,5452.8,0.2,678.75,Cash
ORD00024,2025-04-07,CUST1960,Customer_85,Cairo,Nasr City,Fashion,Watch,4,1035,3933.0,0.05,1243.47,Card
ORD00025,2024-09-06,CUST3536,Customer_98,Cairo,Heliopolis,Home,Chair,3,916,2198.4,0.2,583.6,Card
ORD00026,2025-04-15,CUST9701,Customer_81,Giza,6th October,Electronics,Headphones,1,152,121.6,0.2,26.65,Cash
ORD00027,2025-04-27,CUST5033,Customer_297,Alexandria,Smouha,Fashion,Shirt,5,189,897.75,0.05,180.4,Online
ORD00028,2024-05-13,CUST4346,Customer_343,Cairo,Maadi,Electronics,Tablet,5,1207,4828.0,0.2,864.66,Online
ORD00029,2025-04-20,CUST2188,Customer_5,Delta,Tanta,Home,Chair,2,1425,2565.0,0.1,549.7,Card
ORD00030,2025-04-22,CUST6718,Customer_452,Alexandria,Montaza,Electronics,Phone,5,486,1944.0,0.2,323.29,Cash
ORD00031,2024-11-09,CUST9666,Customer_5,Giza,Dokki,Home,Microwave,4,1757,5622.4,0.2,1551.14,Online
ORD00032,2024-03-20,CUST5462,Customer_145,Alexandria,Gleem,Electronics,Laptop,3,286,858.0,0.0,245.05,Online
ORD00033,2025-04-09,CUST1832,Customer_48,Giza,Sheikh Zayed,Home,Microwave,3,1085,2766.75,0.15,450.37,Online
ORD00034,2024-05-14,CUST3647,Customer_380,Upper Egypt,Sohag,Electronics,Phone,3,1629,4642.65,0.05,1203.74,Card
ORD00035,2025-03-03,CUST7049,Customer_299,Alexandria,Montaza,Sports,Football,1,204,193.8,0.05,45.81,Online
ORD00036,2024-04-17,CUST5088,Customer_342,Giza,Dokki,Fashion,Shirt,3,796,2388.0,0.0,775.46,Cash
ORD00037,2025-02-19,CUST3900,Customer_452,Delta,Zagazig,Sports,Treadmill,2,1820,3458.0,0.05,1189.73,Card
ORD00038,2024-02-25,CUST7267,Customer_447,Cairo,Nasr City,Home,Chair,2,596,1132.4,0.05,336.15,Cash
ORD00039,2024-12-03,CUST4164,Customer_205,Upper Egypt,Assiut,Fashion,Watch,3,675,1923.75,0.05,299.59,Card
ORD00040,2024-01-15,CUST2889,Customer_450,Delta,Tanta,Home,Vacuum,5,868,3472.0,0.2,634.64,Card
ORD00041,2025-02-06,CUST6139,Customer_224,Giza,Sheikh Zayed,Home,Blender,1,1271,1080.35,0.15,201.4,Online
ORD00042,2025-04-18,CUST9821,Customer_352,Alexandria,Smouha,Sports,Treadmill,3,140,357.0,0.15,35.85,Online
ORD00043,2024-03-04,CUST5920,Customer_260,Giza,Dokki,Sports,Football,3,1326,3580.2,0.1,951.78,Card
ORD00044,2025-04-26,CUST7211,Customer_347,Upper Egypt,Sohag,Sports,Dumbbells,5,310,1472.5,0.05,302.03,Online
ORD00045,2024-04-17,CUST8043,Customer_403,Giza,Sheikh Zayed,Home,Chair,5,1757,8785.0,0.0,1545.89,Online
ORD00046,2025-02-10,CUST3780,Customer_338,Alexandria,Montaza,Home,Chair,4,955,3629.0,0.05,826.66,Cash
ORD00047,2024-04-11,CUST3414,Customer_13,Delta,Zagazig,Home,Blender,2,1427,2568.6,0.1,401.11,Cash
ORD00048,2024-12-22,CUST7291,Customer_254,Giza,Dokki,Electronics,Tablet,4,1864,5964.8,0.2,886.42,Card
ORD00049,2024-12-22,CUST9486,Customer_238,Giza,6th October,Electronics,Phone,4,498,1892.4,0.05,569.66,Cash
ORD00050,2024-10-13,CUST6198,Customer_487,Alexandria,Smouha,Electronics,Tablet,2,1691,2874.7,0.15,767.24,Card
ORD00051,2025-01-19,CUST5050,Customer_431,Alexandria,Montaza,Sports,Bike,2,1573,2674.1,0.15,568.29,Online
ORD00052,2024-04-30,CUST5451,Customer_172,Delta,Zagazig,Sports,Treadmill,3,950,2850.0,0.0,793.4,Card
ORD00053,2024-02-02,CUST7797,Customer_209,Alexandria,Smouha,Fashion,Shoes,2,834,1584.6,0.05,438.31,Card
ORD00054,2025-01-29,CUST1320,Customer_439,Alexandria,Gleem,Sports,Football,2,1755,2983.5,0.15,588.85,Online
ORD00055,2025-05-03,CUST7865,Customer_276,Upper Egypt,Sohag,Electronics,Headphones,3,1593,4062.15,0.15,1272.92,Online
ORD00056,2024-07-18,CUST6507,Customer_343,Alexandria,Montaza,Fashion,Watch,2,608,1033.6,0.15,228.85,Online
ORD00057,2024-07-20,CUST1444,Customer_43,Upper Egypt,Luxor,Fashion,Watch,2,1324,2118.4,0.2,226.12,Online
ORD00058,2024-08-20,CUST6355,Customer_173,Upper Egypt,Assiut,Sports,Treadmill,1,582,494.7,0.15,89.96,Card
ORD00059,2025-05-02,CUST6733,Customer_115,Delta,Mansoura,Home,Blender,4,89,284.8,0.2,32.19,Online
ORD00060,2024-05-02,CUST3068,Customer_243,Cairo,Maadi,Electronics,Phone,2,458,916.0,0.0,233.89,Online
ORD00061,2024-11-06,CUST2876,Customer_399,Cairo,Maadi,Fashion,Watch,3,1620,4374.0,0.1,620.88,Cash
ORD00062,2025-01-01,CUST4249,Customer_39,Delta,Tanta,Electronics,Headphones,5,1437,6107.25,0.15,1216.34,Online
ORD00063,2024-08-07,CUST7071,Customer_36,Giza,6th October,Home,Blender,5,1652,8260.0,0.0,1542.98,Online
ORD00064,2025-02-28,CUST8532,Customer_363,Delta,Tanta,Sports,Bike,1,937,843.3,0.1,218.33,Cash
ORD00065,2025-03-12,CUST5022,Customer_426,Upper Egypt,Assiut,Home,Chair,4,942,3014.4,0.2,503.7,Cash
ORD00066,2024-09-10,CUST6325,Customer_94,Delta,Mansoura,Fashion,Watch,5,1299,5520.75,0.15,1016.37,Card
ORD00067,2024-05-21,CUST1166,Customer_265,Giza,Dokki,Home,Vacuum,3,1852,4444.8,0.2,1223.64,Cash
ORD00068,2024-11-26,CUST9041,Customer_230,Cairo,Nasr City,Sports,Bike,5,1602,7609.5,0.05,2074.75,Cash
ORD00069,2024-10-10,CUST9698,Customer_177,Cairo,Heliopolis,Fashion,Watch,2,677,1083.2,0.2,208.25,Card
ORD00070,2025-01-04,CUST4155,Customer_162,Alexandria,Gleem,Home,Chair,3,677,1827.9,0.1,288.14,Cash
ORD00071,2024-10-28,CUST9595,Customer_306,Alexandria,Montaza,Fashion,Shoes,2,1562,2655.4,0.15,449.09,Card
ORD00072,2024-09-30,CUST3073,Customer_141,Cairo,Nasr City,Home,Microwave,3,417,1125.9,0.1,116.57,Cash
ORD00073,2024-08-28,CUST8843,Customer_226,Cairo,Maadi,Home,Microwave,4,260,1040.0,0.0,253.26,Card
ORD00074,2024-02-07,CUST1878,Customer_78,Giza,6th October,Home,Chair,1,1733,1733.0,0.0,346.91,Cash
ORD00075,2025-02-08,CUST4697,Customer_398,Alexandria,Gleem,Electronics,Laptop,1,1192,1013.2,0.15,254.9,Online
ORD00076,2024-01-31,CUST2625,Customer_486,Upper Egypt,Sohag,Sports,Dumbbells,5,928,4176.0,0.1,1011.25,Cash
ORD00077,2024-01-02,CUST7693,Customer_231,Giza,Dokki,Electronics,Laptop,2,405,648.0,0.2,76.96,Online
ORD00078,2024-08-20,CUST2166,Customer_352,Alexandria,Gleem,Home,Blender,2,640,1152.0,0.1,317.66,Cash
ORD00079,2025-04-10,CUST5352,Customer_424,Delta,Zagazig,Fashion,Watch,1,1165,1106.75,0.05,289.87,Cash
ORD00080,2024-08-12,CUST3037,Customer_240,Cairo,Nasr City,Fashion,Jacket,5,1583,6332.0,0.2,2091.45,Online
ORD00081,2024-11-02,CUST1653,Customer_456,Delta,Zagazig,Sports,Dumbbells,5,1155,4908.75,0.15,1028.09,Card
ORD00082,2024-01-11,CUST5415,Customer_296,Delta,Zagazig,Home,Blender,1,518,414.4,0.2,102.27,Cash
ORD00083,2024-09-08,CUST2494,Customer_241,Giza,Dokki,Sports,Dumbbells,2,1248,2121.6,0.15,548.85,Card
ORD00084,2024-05-27,CUST7561,Customer_417,Upper Egypt,Sohag,Home,Blender,2,725,1232.5,0.15,336.99,Online
ORD00085,2024-07-25,CUST9431,Customer_423,Cairo,Heliopolis,Electronics,Headphones,3,712,2136.0,0.0,731.68,Cash
ORD00086,2024-09-12,CUST8242,Customer_390,Alexandria,Gleem,Sports,Football,2,1111,1999.8,0.1,511.27,Cash
ORD00087,2025-05-13,CUST4920,Customer_364,Giza,Dokki,Fashion,Jacket,4,1853,6300.2,0.15,821.27,Cash
ORD00088,2024-03-01,CUST3522,Customer_256,Delta,Zagazig,Electronics,Tablet,1,510,510.0,0.0,109.83,Online
ORD00089,2024-03-15,CUST7284,Customer_98,Delta,Zagazig,Home,Chair,4,1017,3864.6,0.05,827.78,Online
ORD00090,2025-02-07,CUST9318,Customer_137,Alexandria,Montaza,Fashion,Shirt,3,1632,4161.6,0.15,769.77,Cash
ORD00091,2024-06-19,CUST9903,Customer_194,Delta,Zagazig,Home,Chair,2,964,1542.4,0.2,341.0,Card
ORD00092,2025-01-16,CUST8749,Customer_362,Delta,Tanta,Fashion,Watch,2,1803,3065.1,0.15,339.96,Card
ORD00093,2024-06-18,CUST2644,Customer_448,Upper Egypt,Luxor,Fashion,Watch,1,308,246.4,0.2,84.11,Card
ORD00094,2025-02-04,CUST5342,Customer_174,Cairo,Maadi,Sports,Football,2,889,1689.1,0.05,200.51,Online
ORD00095,2025-03-30,CUST8994,Customer_447,Upper Egypt,Luxor,Electronics,Headphones,5,828,3726.0,0.1,956.46,Online
ORD00096,2024-02-20,CUST2646,Customer_228,Cairo,Maadi,Electronics,Laptop,3,515,1545.0,0.0,322.12,Cash
ORD00097,2024-03-15,CUST5000,Customer_272,Delta,Tanta,Electronics,Headphones,1,650,585.0,0.1,113.32,Card
ORD00098,2024-11-13,CUST4945,Customer_255,Alexandria,Montaza,Fashion,Shoes,2,211,337.6,0.2,107.26,Online
ORD00099,2024-08-26,CUST5712,Customer_347,Giza,6th October,Sports,Dumbbells,4,572,2288.0,0.0,742.98,Online
ORD00100,2024-08-21,CUST5949,Customer_102,Giza,6th October,Sports,Dumbbells,5,662,2813.5,0.15,766.9,Card
ORD00101,2024-12-24,CUST5837,Customer_12,Upper Egypt,Assiut,Fashion,Watch,5,785,3140.0,0.2,546.26,Online
ORD00102,2025-04-07,CUST5689,Customer_398,Upper Egypt,Sohag,Electronics,Phone,5,1576,6698.0,0.15,2064.39,Cash
ORD00103,2025-04-07,CUST1645,Customer_159,Alexandria,Gleem,Fashion,Shoes,5,563,2674.25,0.05,687.45,Card
ORD00104,2024-07-31,CUST3877,Customer_103,Cairo,Maadi,Home,Microwave,1,1912,1720.8,0.1,312.63,Cash
ORD00105,2024-05-31,CUST6549,Customer_412,Alexandria,Gleem,Home,Microwave,3,1921,4898.55,0.15,1674.55,Cash
ORD00106,2025-02-08,CUST7464,Customer_8,Upper Egypt,Assiut,Fashion,Shoes,4,1782,5702.4,0.2,1091.69,Card
ORD00107,2025-04-26,CUST7086,Customer_56,Alexandria,Smouha,Sports,Dumbbells,3,1247,3179.85,0.15,971.78,Online
ORD00108,2024-08-25,CUST5951,Customer_333,Giza,Dokki,Electronics,Headphones,5,503,2515.0,0.0,651.01,Card
ORD00109,2025-03-30,CUST9807,Customer_70,Cairo,Nasr City,Electronics,Phone,3,1058,3174.0,0.0,394.52,Card
ORD00110,2024-11-11,CUST7686,Customer_481,Upper Egypt,Sohag,Sports,Treadmill,4,1391,5564.0,0.0,1716.07,Card
ORD00111,2024-02-20,CUST7018,Customer_279,Cairo,Maadi,Home,Microwave,4,960,3648.0,0.05,1144.97,Online
ORD00112,2024-04-18,CUST1349,Customer_26,Delta,Tanta,Sports,Dumbbells,2,300,510.0,0.15,62.69,Card
ORD00113,2025-03-21,CUST4817,Customer_169,Giza,6th October,Fashion,Shirt,5,474,1896.0,0.2,291.96,Cash
ORD00114,2024-02-26,CUST1422,Customer_68,Alexandria,Smouha,Home,Microwave,2,1156,2080.8,0.1,623.47,Cash
ORD00115,2024-08-03,CUST9619,Customer_59,Delta,Tanta,Home,Blender,2,593,1186.0,0.0,156.18,Online
ORD00116,2024-04-23,CUST1710,Customer_373,Cairo,Heliopolis,Sports,Dumbbells,5,1265,6325.0,0.0,1347.23,Online
ORD00117,2024-02-25,CUST9032,Customer_365,Alexandria,Gleem,Sports,Football,1,1030,875.5,0.15,180.85,Card
ORD00118,2024-10-26,CUST9984,Customer_365,Cairo,Nasr City,Home,Microwave,1,308,277.2,0.1,70.99,Card
ORD00119,2024-12-25,CUST2874,Customer_437,Upper Egypt,Luxor,Home,Chair,5,1289,5478.25,0.15,683.66,Online
ORD00120,2025-02-27,CUST8430,Customer_205,Alexandria,Montaza,Fashion,Watch,4,1868,7098.4,0.05,1444.19,Card
ORD00121,2024-08-30,CUST2099,Customer_47,Cairo,Heliopolis,Sports,Dumbbells,3,816,2325.6,0.05,631.88,Cash
ORD00122,2024-10-14,CUST6400,Customer_344,Cairo,Heliopolis,Electronics,Headphones,2,1189,2378.0,0.0,586.45,Cash
ORD00123,2024-10-22,CUST9313,Customer_109,Upper Egypt,Sohag,Sports,Football,3,1279,3453.3,0.1,648.91,Cash
ORD00124,2024-10-20,CUST4705,Customer_414,Upper Egypt,Assiut,Electronics,Headphones,5,802,4010.0,0.0,1165.51,Card
ORD00125,2024-06-07,CUST6567,Customer_180,Alexandria,Montaza,Electronics,Headphones,1,419,377.1,0.1,103.96,Cash
ORD00126,2024-09-28,CUST4524,Customer_193,Giza,6th October,Sports,Football,2,1567,3134.0,0.0,385.29,Card
ORD00127,2024-10-17,CUST2391,Customer_453,Upper Egypt,Sohag,Fashion,Jacket,3,1527,4122.9,0.1,1212.99,Cash
ORD00128,2024-08-14,CUST7785,Customer_140,Giza,6th October,Electronics,Phone,3,957,2440.35,0.15,540.33,Cash
ORD00129,2024-12-07,CUST6053,Customer_24,Alexandria,Smouha,Home,Chair,1,630,504.0,0.2,111.72,Cash
ORD00130,2025-01-26,CUST5186,Customer_149,Upper Egypt,Luxor,Electronics,Phone,2,667,1267.3,0.05,369.85,Card
ORD00131,2024-04-27,CUST9196,Customer_287,Cairo,Nasr City,Sports,Bike,2,314,533.8,0.15,124.45,Online
ORD00132,2025-03-17,CUST6129,Customer_295,Delta,Tanta,Sports,Football,4,88,299.2,0.15,98.82,Card
ORD00133,2024-03-28,CUST8538,Customer_426,Alexandria,Gleem,Sports,Dumbbells,1,879,879.0,0.0,300.22,Online
ORD00134,2024-02-10,CUST7484,Customer_446,Delta,Tanta,Sports,Football,2,942,1507.2,0.2,301.61,Card
ORD00135,2024-04-09,CUST6724,Customer_180,Delta,Tanta,Home,Microwave,1,1095,1095.0,0.0,254.75,Online
ORD00136,2025-01-24,CUST2234,Customer_91,Giza,6th October,Electronics,Laptop,3,454,1293.9,0.05,324.25,Online
ORD00137,2024-08-14,CUST5961,Customer_408,Upper Egypt,Sohag,Sports,Dumbbells,3,359,915.45,0.15,107.17,Card
ORD00138,2024-07-07,CUST5703,Customer_40,Alexandria,Smouha,Home,Blender,3,995,2537.25,0.15,277.58,Online
ORD00139,2025-02-18,CUST4084,Customer_165,Cairo,Maadi,Sports,Bike,5,1185,5925.0,0.0,1258.67,Online
ORD00140,2024-02-13,CUST9266,Customer_331,Upper Egypt,Luxor,Fashion,Shirt,4,261,939.6,0.1,324.72,Cash
ORD00141,2024-07-09,CUST5634,Customer_199,Cairo,Nasr City,Sports,Bike,5,1120,4480.0,0.2,625.8,Card
ORD00142,2024-07-16,CUST5655,Customer_130,Delta,Zagazig,Electronics,Headphones,1,725,725.0,0.0,173.63,Online
ORD00143,2024-06-07,CUST7421,Customer_67,Alexandria,Smouha,Home,Blender,5,1409,6692.75,0.05,2203.16,Online
ORD00144,2024-12-09,CUST7937,Customer_261,Cairo,Heliopolis,Sports,Dumbbells,2,1422,2275.2,0.2,280.68,Card
ORD00145,2024-03-11,CUST3538,Customer_40,Cairo,Heliopolis,Home,Microwave,2,749,1273.3,0.15,188.45,Card
ORD00146,2024-03-24,CUST3962,Customer_426,Cairo,Maadi,Electronics,Headphones,5,318,1272.0,0.2,247.0,Online
ORD00147,2024-11-08,CUST5668,Customer_386,Alexandria,Smouha,Sports,Football,4,796,3024.8,0.05,1035.68,Online
ORD00148,2025-04-29,CUST8218,Customer_237,Upper Egypt,Assiut,Fashion,Jacket,4,1901,7223.8,0.05,1386.68,Card
ORD00149,2024-05-08,CUST1854,Customer_329,Upper Egypt,Luxor,Sports,Treadmill,2,1690,2704.0,0.2,363.96,Card
ORD00150,2025-04-08,CUST9410,Customer_76,Delta,Zagazig,Electronics,Phone,3,221,629.85,0.05,105.94,Card
ORD00151,2024-07-10,CUST4862,Customer_198,Cairo,Nasr City,Sports,Dumbbells,1,899,899.0,0.0,179.0,Cash
ORD00152,2024-03-11,CUST1627,Customer_147,Delta,Tanta,Electronics,Headphones,1,1768,1591.2,0.1,473.93,Card
ORD00153,2024-04-20,CUST3449,Customer_281,Giza,Sheikh Zayed,Sports,Bike,5,60,300.0,0.0,31.43,Online
ORD00154,2024-05-02,CUST7878,Customer_328,Alexandria,Montaza,Sports,Football,3,536,1447.2,0.1,188.8,Online
ORD00155,2024-10-21,CUST4963,Customer_368,Upper Egypt,Assiut,Electronics,Tablet,5,1147,5735.0,0.0,1479.57,Cash
ORD00156,2024-12-08,CUST2402,Customer_269,Delta,Mansoura,Electronics,Headphones,2,1218,2070.6,0.15,304.02,Card
ORD00157,2024-05-09,CUST1266,Customer_183,Cairo,Maadi,Electronics,Tablet,4,139,472.6,0.15,163.17,Cash
ORD00158,2025-02-20,CUST3868,Customer_426,Delta,Tanta,Electronics,Headphones,2,140,252.0,0.1,59.6,Online
ORD00159,2024-04-13,CUST1717,Customer_406,Upper Egypt,Luxor,Sports,Treadmill,2,179,304.3,0.15,33.24,Cash
ORD00160,2024-11-27,CUST4131,Customer_147,Cairo,Heliopolis,Home,Chair,5,1019,4585.5,0.1,500.53,Card
ORD00161,2024-07-23,CUST8204,Customer_459,Cairo,Maadi,Home,Vacuum,1,1687,1518.3,0.1,317.69,Card
ORD00162,2024-02-12,CUST7955,Customer_41,Delta,Tanta,Sports,Bike,3,1942,4660.8,0.2,776.86,Card
ORD00163,2024-06-05,CUST8305,Customer_309,Alexandria,Smouha,Home,Vacuum,1,213,191.7,0.1,50.84,Online
ORD00164,2024-08-10,CUST5498,Customer_328,Upper Egypt,Assiut,Sports,Dumbbells,4,136,489.6,0.1,124.22,Cash
ORD00165,2024-03-14,CUST8179,Customer_18,Cairo,Maadi,Sports,Dumbbells,5,1690,8027.5,0.05,2714.88,Cash
ORD00166,2024-03-19,CUST8371,Customer_486,Cairo,Nasr City,Home,Vacuum,4,1994,6380.8,0.2,689.74,Card
ORD00167,2024-05-22,CUST5089,Customer_492,Delta,Mansoura,Electronics,Laptop,5,801,3404.25,0.15,607.99,Cash
ORD00168,2025-01-31,CUST5264,Customer_361,Cairo,Maadi,Fashion,Watch,5,842,3368.0,0.2,435.95,Card
ORD00169,2024-08-19,CUST3828,Customer_461,Giza,Sheikh Zayed,Home,Chair,2,301,571.9,0.05,179.12,Online
ORD00170,2024-06-02,CUST3580,Customer_365,Upper Egypt,Assiut,Home,Vacuum,1,1176,940.8,0.2,162.37,Online
ORD00171,2024-09-09,CUST1430,Customer_185,Giza,Dokki,Fashion,Shirt,2,1672,3176.8,0.05,505.7,Online
ORD00172,2024-07-22,CUST8842,Customer_270,Alexandria,Gleem,Sports,Treadmill,5,1860,9300.0,0.0,1082.86,Card
ORD00173,2024-12-14,CUST9476,Customer_177,Upper Egypt,Luxor,Electronics,Laptop,3,1365,4095.0,0.0,870.16,Cash
ORD00174,2024-09-22,CUST3507,Customer_156,Alexandria,Montaza,Fashion,Shoes,4,1079,4316.0,0.0,1328.67,Cash
ORD00175,2024-05-08,CUST4216,Customer_326,Giza,Dokki,Fashion,Jacket,5,1882,8469.0,0.1,2637.95,Online
ORD00176,2024-10-24,CUST3526,Customer_88,Delta,Tanta,Home,Blender,5,1362,6469.5,0.05,1604.13,Online
ORD00177,2025-01-29,CUST5336,Customer_334,Alexandria,Montaza,Home,Blender,1,216,216.0,0.0,72.82,Cash
ORD00178,2025-02-16,CUST7653,Customer_153,Alexandria,Gleem,Electronics,Tablet,5,643,2893.5,0.1,638.7,Card
ORD00179,2024-06-23,CUST3353,Customer_161,Cairo,Maadi,Electronics,Laptop,4,901,3063.4,0.15,662.03,Online
ORD00180,2024-02-24,CUST6228,Customer_124,Delta,Zagazig,Home,Chair,2,1607,2892.6,0.1,661.67,Card
ORD00181,2024-07-15,CUST7850,Customer_128,Cairo,Heliopolis,Sports,Treadmill,2,248,496.0,0.0,85.59,Cash
ORD00182,2025-03-26,CUST6055,Customer_255,Delta,Zagazig,Home,Microwave,2,1070,1712.0,0.2,371.0,Cash
ORD00183,2024-05-24,CUST9108,Customer_306,Cairo,Heliopolis,Sports,Treadmill,2,1244,2239.2,0.1,251.16,Online
ORD00184,2025-01-26,CUST7606,Customer_188,Upper Egypt,Sohag,Electronics,Phone,4,324,1166.4,0.1,328.78,Cash
ORD00185,2024-08-18,CUST5582,Customer_423,Upper Egypt,Assiut,Fashion,Jacket,5,641,3205.0,0.0,630.06,Online
ORD00186,2024-07-06,CUST3363,Customer_102,Alexandria,Smouha,Fashion,Shirt,4,814,2930.4,0.1,701.71,Online
ORD00187,2024-09-22,CUST8487,Customer_77,Alexandria,Gleem,Electronics,Phone,1,330,297.0,0.1,89.39,Online
ORD00188,2024-06-02,CUST6511,Customer_260,Alexandria,Smouha,Home,Vacuum,2,854,1366.4,0.2,389.19,Online
ORD00189,2024-08-01,CUST6040,Customer_408,Alexandria,Gleem,Home,Chair,1,804,723.6,0.1,194.25,Online
ORD00190,2024-10-25,CUST8871,Customer_88,Cairo,Maadi,Sports,Dumbbells,5,1232,5852.0,0.05,1640.61,Online
ORD00191,2024-08-13,CUST6139,Customer_215,Alexandria,Gleem,Fashion,Shoes,1,1222,1222.0,0.0,180.48,Cash
ORD00192,2025-03-22,CUST2020,Customer_362,Upper Egypt,Luxor,Fashion,Watch,5,1637,6548.0,0.2,2161.69,Cash
ORD00193,2024-08-23,CUST9734,Customer_176,Alexandria,Smouha,Home,Chair,5,821,3694.5,0.1,1253.07,Online
ORD00194,2024-04-25,CUST5876,Customer_395,Delta,Zagazig,Home,Chair,2,554,997.2,0.1,238.85,Card
ORD00195,2025-02-11,CUST5480,Customer_148,Giza,Sheikh Zayed,Sports,Dumbbells,4,764,2444.8,0.2,815.16,Cash
ORD00196,2024-05-27,CUST2294,Customer_178,Alexandria,Montaza,Sports,Bike,3,1633,4654.05,0.05,803.35,Card
ORD00197,2024-10-14,CUST5450,Customer_71,Delta,Zagazig,Sports,Treadmill,2,1745,2792.0,0.2,468.45,Cash
ORD00198,2024-04-29,CUST1860,Customer_52,Alexandria,Montaza,Fashion,Shoes,1,1421,1136.8,0.2,177.82,Card
ORD00199,2024-03-21,CUST7666,Customer_335,Delta,Zagazig,Sports,Football,2,60,96.0,0.2,33.07,Card
ORD00200,2024-02-15,CUST4804,Customer_274,Upper Egypt,Luxor,Fashion,Jacket,3,634,1902.0,0.0,621.92,Online
ORD00201,2024-04-05,CUST5742,Customer_449,Cairo,Nasr City,Sports,Treadmill,1,1762,1497.7,0.15,444.8,Cash
ORD00202,2025-03-31,CUST3198,Customer_436,Cairo,Heliopolis,Electronics,Headphones,3,980,2352.0,0.2,543.5,Online
ORD00203,2025-01-02,CUST4050,Customer_8,Upper Egypt,Sohag,Fashion,Shirt,3,382,974.1,0.15,255.28,Online
ORD00204,2024-09-20,CUST6372,Customer_45,Delta,Mansoura,Fashion,Shoes,5,1803,7662.75,0.15,2350.53,Card
ORD00205,2024-07-15,CUST4858,Customer_229,Cairo,Nasr City,Fashion,Watch,3,1966,5603.1,0.05,569.88,Card
ORD00206,2024-03-01,CUST8625,Customer_158,Delta,Mansoura,Electronics,Headphones,3,1468,4183.8,0.05,483.36,Cash
ORD00207,2025-05-05,CUST3188,Customer_245,Upper Egypt,Luxor,Home,Blender,3,802,1924.8,0.2,298.75,Cash
ORD00208,2025-02-14,CUST4578,Customer_391,Upper Egypt,Luxor,Home,Chair,5,1919,8155.75,0.15,2359.77,Cash
ORD00209,2025-02-28,CUST9972,Customer_463,Alexandria,Smouha,Sports,Dumbbells,1,1928,1542.4,0.2,197.51,Online
ORD00210,2024-12-14,CUST4365,Customer_368,Giza,Sheikh Zayed,Fashion,Shoes,3,1799,4317.6,0.2,908.68,Online
